date_key,full_date,year,quarter,month,month_name,day
531,2018-04-16,2018,2,4,April,16
532,2018-04-17,2018,2,4,April,17
533,2018-04-18,2018,2,4,April,18
534,2018-04-19,2018,2,4,April,19
535,2018-04-20,2018,2,4,April,20
536,2018-04-21,2018,2,4,April,21
537,2018-04-22,2018,2,4,April,22
538,2018-04-23,2018,2,4,April,23
539,2018-04-24,2018,2,4,April,24
540,2018-04-25,2018,2,4,April,25
541,2018-04-26,2018,2,4,April,26
542,2018-04-27,2018,2,4,April,27
543,2018-04-28,2018,2,4,April,28
544,2018-04-29,2018,2,4,April,29
545,2018-04-30,2018,2,4,April,30
546,2018-05-01,2018,2,5,May,1
547,2018-05-02,2018,2,5,May,2
548,2018-05-03,2018,2,5,May,3
549,2018-05-04,2018,2,5,May,4
550,2018-05-05,2018,2,5,May,5
551,2018-05-06,2018,2,5,May,6
552,2018-05-07,2018,2,5,May,7
553,2018-05-08,2018,2,5,May,8
554,2018-05-09,2018,2,5,May,9
555,2018-05-10,2018,2,5,May,10
556,2018-05-11,2018,2,5,May,11
557,2018-05-12,2018,2,5,May,12
558,2018-05-13,2018,2,5,May,13
559,2018-05-14,2018,2,5,May,14
560,2018-05-15,2018,2,5,May,15
561,2018-05-16,2018,2,5,May,16
562,2018-05-17,2018,2,5,May,17
563,2018-05-18,2018,2,5,May,18
564,2018-05-19,2018,2,5,May,19
565,2018-05-20,2018,2,5,May,20
566,2018-05-21,2018,2,5,May,21
567,2018-05-22,2018,2,5,May,22
568,2018-05-23,2018,2,5,May,23
569,2018-05-24,2018,2,5,May,24
570,2018-05-25,2018,2,5,May,25
571,2018-05-26,2018,2,5,May,26
572,2018-05-27,2018,2,5,May,27
573,2018-05-28,2018,2,5,May,28
574,2018-05-29,2018,2,5,May,29
575,2018-05-30,2018,2,5,May,30
576,2018-05-31,2018,2,5,May,31
577,2018-06-01,2018,2,6,June,1
578,2018-06-02,2018,2,6,June,2
579,2018-06-03,2018,2,6,June,3
580,2018-06-04,2018,2,6,June,4
581,2018-06-05,2018,2,6,June,5
582,2018-06-06,2018,2,6,June,6
583,2018-06-07,2018,2,6,June,7
584,2018-06-08,2018,2,6,June,8
585,2018-06-09,2018,2,6,June,9
586,2018-06-10,2018,2,6,June,10
587,2018-06-11,2018,2,6,June,11
588,2018-06-12,2018,2,6,June,12
589,2018-06-13,2018,2,6,June,13
590,2018-06-14,2018,2,6,June,14
591,2018-06-15,2018,2,6,June,15
592,2018-06-16,2018,2,6,June,16
593,2018-06-17,2018,2,6,June,17
594,2018-06-18,2018,2,6,June,18
595,2018-06-19,2018,2,6,June,19
596,2018-06-20,2018,2,6,June,20
597,2018-06-21,2018,2,6,June,21
598,2018-06-22,2018,2,6,June,22
599,2018-06-23,2018,2,6,June,23
600,2018-06-24,2018,2,6,June,24
601,2018-06-25,2018,2,6,June,25
602,2018-06-26,2018,2,6,June,26
603,2018-06-27,2018,2,6,June,27
604,2018-06-28,2018,2,6,June,28
605,2018-06-29,2018,2,6,June,29
606,2018-06-30,2018,2,6,June,30
607,2018-07-01,2018,3,7,July,1
608,2018-07-02,2018,3,7,July,2
609,2018-07-03,2018,3,7,July,3
610,2018-07-04,2018,3,7,July,4
611,2018-07-05,2018,3,7,July,5
612,2018-07-06,2018,3,7,July,6
613,2018-07-07,2018,3,7,July,7
614,2018-07-08,2018,3,7,July,8
615,2018-07-09,2018,3,7,July,9
616,2018-07-10,2018,3,7,July,10
